date,stake_yen,return_yen,pnl,cumulative_pnl_yen,bet_rows,winning_bet_rows,bet_row_hit_rate_pct
2026-03-24,4000,0,-4000,-4000,40,0,0.0
2026-03-25,7000,0,-7000,-11000,41,0,0.0
2026-03-28,12400,0,-12400,-23400,120,0,0.0
2026-03-29,800,0,-800,-24200,4,0,0.0
2026-03-30,1000,0,-1000,-25200,6,0,0.0
2026-04-01,1200,800,-400,-25600,12,1,8.33
2026-04-02,400,0,-400,-26000,2,0,0.0
2026-04-03,4700,3650,-1050,-27050,40,1,2.5
2026-04-04,3200,0,-3200,-30250,22,0,0.0
2026-04-05,4900,9120,4220,-26030,47,2,4.26
2026-04-06,4100,0,-4100,-30130,35,0,0.0
2026-04-07,4300,7280,2980,-27150,42,1,2.38
2026-04-08,4900,9370,4470,-22680,49,2,4.08
2026-04-09,6000,7920,1920,-20760,58,1,1.72
2026-04-10,5400,2790,-2610,-23370,50,2,4.0
2026-04-11,4900,1340,-3560,-26930,39,1,2.56
2026-04-12,3700,0,-3700,-30630,34,0,0.0
2026-04-13,4500,0,-4500,-35130,30,0,0.0
2026-04-14,5000,4070,-930,-36060,41,2,4.88
2026-04-15,5000,7400,2400,-33660,48,1,2.08
